GENERIC NAME,STRENGTH,BRAND NAME
5-AMINOSALICYLIC ACID,EC 400 MG TAB,ASACOL
5-AMINOSALICYLIC ACID,EC 800 MG TAB,ASACOL
5-AMINOSALICYLIC ACID,EC 500 MG TAB,MESASAL
5-AMINOSALICYLIC ACID,SR 1200 MG TAB,MEZAVANT
5-AMINOSALICYLIC ACID,1 GM/100 ML ENEMA,PENTASA
5-AMINOSALICYLIC ACID,1000 MG SUPP,PENTASA
5-AMINOSALICYLIC ACID,SR 250 MG TAB,PENTASA
5-AMINOSALICYLIC ACID,SR 500 MG TAB,PENTASA
5-AMINOSALICYLIC ACID,2 GM ENEMA,SALOFALK
5-AMINOSALICYLIC ACID,4 GM ENEMA,SALOFALK
5-AMINOSALICYLIC ACID,500 MG SUPP,SALOFALK
5-AMINOSALICYLIC ACID,EC 500 MG TAB,SALOFALK
A535 Rub,METHYL SALICYLATE+CAMPHOR+MENTHOL CR 50 GM TUBE,A-535 Rub
ABCIXIMAB,INJ 2 MG/ML 5 ML VIAL,REOPRO
ACARBOSE,100 MG TAB,"GLUCOBAY, PRANDASE"
ACARBOSE,50 MG TAB,"GLUCOBAY, PRANDASE"
ACEBUTOLOL,100 MG TAB,MONITAN
ACEBUTOLOL,200 MG TAB,MONITAN
ACEBUTOLOL,400 MG TAB,MONITAN
ACETAMINOPHEN,160 MG/5 ML ELIXIR (+CODEINE 8 MG/5 ML) 500 ML BTL,PMS-ACETAMINOPHEN/CODEINE
ACETAMINOPHEN,(+CODEINE 30 MG),RATIO-EMTEC
ACETAMINOPHEN,120 MG SUPP,TYLENOL
ACETAMINOPHEN,160 MG SUPP,TYLENOL
ACETAMINOPHEN,325 MG SUPP,TYLENOL
ACETAMINOPHEN,325 MG TAB,TYLENOL
ACETAMINOPHEN,500 MG TAB,TYLENOL
ACETAMINOPHEN,650 MG SUPP,TYLENOL
ACETAMINOPHEN,CHEWABLE 160 MG TAB,TYLENOL
ACETAMINOPHEN,LIQ 160 MG/5 ML 100 ML BTL,TYLENOL
ACETAMINOPHEN,LIQ 80 MG/ML 24 ML BTL,TYLENOL
ACETAMINOPHEN,SUSP 80 MG/ML 24 ML BTL [DYE-FREE],TYLENOL
