GENERIC NAME,BRAND NAME,RESTRICTION CRITERIA
abacavir,Ziagen,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS
abacavir+lamivudine,Kivexa,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS
abacavir+lamivudine+zidovudine,Trizivir,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS
abatacept,Orencia,Restricted to pediatric inpatients with polyarticular Juvenile Idiopathic Arthritis (JIA) who have had inadequate response to one or more Disease Modifying Antirheumatic Drugs (DMARDs)
abiraterone,Zytiga,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
acitretin,Soriatane,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
adefovir,Hepsera,Restricted to indications outlined by BCTS
afatinib,Giotrif,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
aldesleukin,Proleukin,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
alemtuzumab,Mabcampath,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
amifostine,Ethyol,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
aminolevulinic acid,Levulan Kerastick,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
amsacrine,AMSA P-D,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
anagrelide,Agrylin,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
anakinra,Kineret,Restricted to pediatric inpatients with systemic onset juvenile idiopathic arthritis (SOJIA) and prominent systemic symptoms OR pediatric inpatients with auto-inflammatory disease / periodic fever syndromes
anastrozole,Arimidex,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
antithymocyte globulin (equine),Atgam,Restricted to treatment of aplastic anemia OR pediatric bone marrow transplant (BMT) OR pediatric stem cell transplant (SCT) patients
antithymocyte globulin (rabbit),Thymoglobulin,Restricted to bone marrow transplant (BMT) OR solid organ transplant (SOT) OR stem cell transplant OR aplastic anemia with treatment failure or intolerance to antithymocyte globulin equine
apixaban,Eliquis,"Restricted to at risk patients with non_valvular atrial fibrillation, for the prevention of stroke and systemic embolism AND in whom anticoagulation is inadequate following at least a 2 month trial  of warfarin OR for whom anticoagulation using warfarin is contraindicated or not possible due to inability to regularly monitor the patient via International Normalized Ratio (INR) testing in the community (i.e. no access to INR testing services at a laboratory, clinic, pharmacy and at home)"
aprepitant,Emend,"Restricted to patients receiving highly emetogenic chemotherapy as per protocols from BCCA, BCCH, or Leukemia/BMT unit"
argatroban,Argatroban,Restricted for prophylaxis and treatment of venous thromboembolism (VTE) in patients with heparin induced thrombocytopenia (HIT)
aripiprazole,Abilify,Restricted to patient specific diagnosis identified as schizophrenia or other psychosis (not dementia related) PLUS treatment failure or intolerance to another anti-psychotic agent
arsenic trioxide,Trisenox,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
asparaginase,"Erwinia, Kidrolase",Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
atazanavir,Reyataz,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS
atomoxetine,Strattera,Restricted to treatment of ADHD in pediatrics
atovaquone,Mepron,Restricted to approval of the Centre for Excellence (CFE) in HIV/AIDS
axitinib,Inlyta,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
azacitidine,Vidaza,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
basiliximab,Simulect,Restricted to indications outlined by BCTS OR leukemia/BMT patients with steroid-refractory acute graft versus host disease (GVHD)
beclomethasone,Qvar,Restricted to HIV / AIDS patients with highly active anti-retroviral therapy (HAART)
bendamustine,Treanda,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
bevacizumab,Avastin,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
bicalutamide,Casodex,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
bivalirudin,Angiomax,Restricted to use in patients with unstable angina undergoing percutaneous coronary interventions (PCI)
bleomycin,Blenoxane,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA OR as a sclerosing agent for vascular malformations or cystic lesions OR malignant pleural effusions.
bortezomib,Velcade,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
bosentan,Tracleer,Restricted to treatment of pulmonary arterial hypertension (PAH)
botulinum toxin type A,Botox,Restricted to spasticity OR esophageal sphincter disorders causing dysphagia OR strabismus
buprenorphine+naloxone,Suboxone,Restricted to physicians with a methadone exemption for opioid dependence when methadone is contraindicated or where there is an inadequate response or intolerance to methadone
buserelin,Suprefact,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
buserelin (depot),Suprefact Depot,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
busulfan,Myleran,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
cabazitaxel,Jetvana,Restricted to indications outlined in the BCCA Benefit Drug List AND patients who are registered with BCCA
